ticker,name,market_price,market_cap,source,source_symbol,retrieved_at_utc,as_of_status
2602335D,CONTRA HOLOGIC INCORPO,,,MISSING,,2026-09-24T19:02:43Z,MISSING
A,AGILENT TECHNOLOGIES INC,165.32,46608478143.0,NASDAQ_PUBLIC_SCREENER,A,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
AAPL,APPLE INC,337.02,4918530543600.0,NASDAQ_PUBLIC_SCREENER,AAPL,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
ABBV,ABBVIE INC,265.08,468427449908.0,NASDAQ_PUBLIC_SCREENER,ABBV,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
ABNB,AIRBNB INC CLASS A,149.58,89566362314.0,NASDAQ_PUBLIC_SCREENER,ABNB,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
ABT,ABBOTT LABORATORIES,103.49,179077367303.0,NASDAQ_PUBLIC_SCREENER,ABT,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
ACGL,ARCH CAPITAL GROUP LTD,95.16,32471363630.0,NASDAQ_PUBLIC_SCREENER,ACGL,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
ACN,ACCENTURE PLC CL A,183.52,122501473739.0,NASDAQ_PUBLIC_SCREENER,ACN,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
ADBE,ADOBE INC,240.69,93676548000.0,NASDAQ_PUBLIC_SCREENER,ADBE,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
ADI,ANALOG DEVICES INC,385.23,186669154082.0,NASDAQ_PUBLIC_SCREENER,ADI,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
ADM,ARCHER DANIELS MIDLAND CO,82.15,39592979743.0,NASDAQ_PUBLIC_SCREENER,ADM,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
ADP,AUTOMATIC DATA PROCESSING,263.68,104750238492.0,NASDAQ_PUBLIC_SCREENER,ADP,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
ADSK,AUTODESK INC,217.15,45384350000.0,NASDAQ_PUBLIC_SCREENER,ADSK,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
AEE,AMEREN CORPORATION,99.74,27612345855.0,NASDAQ_PUBLIC_SCREENER,AEE,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
AEP,AMERICAN ELECTRIC POWER,118.4,64456646477.0,NASDAQ_PUBLIC_SCREENER,AEP,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
AES,AES CORP,14.81,10566026110.0,NASDAQ_PUBLIC_SCREENER,AES,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
AFL,AFLAC INC,115.23,57769788229.0,NASDAQ_PUBLIC_SCREENER,AFL,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
AIG,AMERICAN INTERNATIONAL GROUP,75.58,39520265713.0,NASDAQ_PUBLIC_SCREENER,AIG,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
AIZ,ASSURANT INC,266.97,13167966076.0,NASDAQ_PUBLIC_SCREENER,AIZ,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
AJG,ARTHUR J GALLAGHER + CO,229.64,58856732000.0,NASDAQ_PUBLIC_SCREENER,AJG,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
AKAM,AKAMAI TECHNOLOGIES INC,118.44,17021795170.0,NASDAQ_PUBLIC_SCREENER,AKAM,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
ALB,ALBEMARLE CORP,113.47,13390033818.0,NASDAQ_PUBLIC_SCREENER,ALB,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
ALGN,ALIGN TECHNOLOGY INC,148.17,10525974871.0,NASDAQ_PUBLIC_SCREENER,ALGN,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
ALL,ALLSTATE CORP,225.66,57059924997.0,NASDAQ_PUBLIC_SCREENER,ALL,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
ALLE,ALLEGION PLC,154.09,13103318355.0,NASDAQ_PUBLIC_SCREENER,ALLE,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
AMAT,APPLIED MATERIALS INC,474.38,376466755010.0,NASDAQ_PUBLIC_SCREENER,AMAT,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
AMCR,AMCOR PLC,42.8,19788395532.0,NASDAQ_PUBLIC_SCREENER,AMCR,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
AMD,ADVANCED MICRO DEVICES,614.61,1003335485564.0,NASDAQ_PUBLIC_SCREENER,AMD,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
AME,AMETEK INC,246.45,56501433584.0,NASDAQ_PUBLIC_SCREENER,AME,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
AMGN,AMGEN INC,406.09,219545250910.0,NASDAQ_PUBLIC_SCREENER,AMGN,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
AMP,AMERIPRISE FINANCIAL INC,502.79,45199354864.0,NASDAQ_PUBLIC_SCREENER,AMP,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
AMT,AMERICAN TOWER CORP,170.78,79576656997.0,NASDAQ_PUBLIC_SCREENER,AMT,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
AMZN,AMAZON.COM INC,249.27,2688704384092.0,NASDAQ_PUBLIC_SCREENER,AMZN,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
ANET,ARISTA NETWORKS INC,203.47,256621379129.0,NASDAQ_PUBLIC_SCREENER,ANET,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
AON,AON PLC CLASS A,281.6,59734522214.0,NASDAQ_PUBLIC_SCREENER,AON,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
AOS,SMITH (A.O.) CORP,57.74,7847361005.0,NASDAQ_PUBLIC_SCREENER,AOS,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
APA,APA CORP,43.7,15310360987.0,NASDAQ_PUBLIC_SCREENER,APA,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
APD,AIR PRODUCTS + CHEMICALS INC,286.97,63904066544.0,NASDAQ_PUBLIC_SCREENER,APD,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
APH,AMPHENOL CORP CL A,82.19,202677820662.0,NASDAQ_PUBLIC_SCREENER,APH,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
APO,APOLLO GLOBAL MANAGEMENT INC,124.36,73439947253.0,NASDAQ_PUBLIC_SCREENER,APO,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
APP,APPLOVIN CORP CLASS A,315.25,105498727750.0,NASDAQ_PUBLIC_SCREENER,APP,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
APTV,APTIV PLC,45.17,9378797561.0,NASDAQ_PUBLIC_SCREENER,APTV,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
ARE,ALEXANDRIA REAL ESTATE EQUIT,51.86,9036478980.0,NASDAQ_PUBLIC_SCREENER,ARE,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
ARES,ARES MANAGEMENT CORP A,121.48,40122077779.0,NASDAQ_PUBLIC_SCREENER,ARES,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
ATO,ATMOS ENERGY CORP,156.24,26402771521.0,NASDAQ_PUBLIC_SCREENER,ATO,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
AVGO,BROADCOM INC,354.99,1694590865776.0,NASDAQ_PUBLIC_SCREENER,AVGO,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
AVY,AVERY DENNISON CORP,172.66,13085580598.0,NASDAQ_PUBLIC_SCREENER,AVY,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
AWK,AMERICAN WATER WORKS CO INC,133.06,26442879276.0,NASDAQ_PUBLIC_SCREENER,AWK,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
AXON,AXON ENTERPRISE INC,450.61,36606391573.0,NASDAQ_PUBLIC_SCREENER,AXON,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
AXP,AMERICAN EXPRESS CO,301.96,203916557173.0,NASDAQ_PUBLIC_SCREENER,AXP,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
AZO,AUTOZONE INC,2843.34,46418534886.0,NASDAQ_PUBLIC_SCREENER,AZO,2026-09-24T19:02:43Z,RETRIEVAL_TIME_ONLY
