ticker,name,module,data_status,data_coverage_pct,bqs,bqs_coverage_pct,metric_coverage_pct,bqs_confidence,bqs_provisional_components,growth_flags,bqs_eligible_top30,bqs_rank,market_price,market_cap,market_source,market_source_symbol,market_retrieved_at_utc,ios,ios_variant,ios_rank,ios_confidence,ios_provisional_reasons,ios_leverage_indeterminate,ios_gate_reason,discount_rate,owner_yield,expected_return,margin_of_safety,bear_return,bull_return
DECK,DECKERS OUTDOOR CORP,GENERAL,PRESENT,100.0,88.6,100.0,70.4,PROVISIONAL,moat|balance,,True,17,78.59,10720794100.0,NASDAQ_PUBLIC_SCREENER,DECK,2026-09-24T19:02:43Z,98.3,IOS_GENERAL,1,PROVISIONAL,BQS_PROVISIONAL,False,,0.095,0.0982,0.1982,1.135,0.446,1.781
FISV,FISERV INC,SOFTWARE,PRESENT,100.0,79.3,100.0,74.5,PROVISIONAL,moat,,True,87,45.95,24434680830.0,NASDAQ_PUBLIC_SCREENER,FISV,2026-09-24T19:02:43Z,96.9,IOS_GENERAL,2,PROVISIONAL,BQS_PROVISIONAL,False,,0.105,0.1613,0.2225,1.404,0.679,2.067
CMCSA,COMCAST CORP CLASS A,GENERAL,PARTIAL,83.3,76.2,100.0,62.2,PROVISIONAL,moat|mgmt|balance,BASE_EFFECT_SUSPECTED,False,,22.55,80021754721.0,NASDAQ_PUBLIC_SCREENER,CMCSA,2026-09-24T19:02:43Z,96.4,IOS_GENERAL,3,PROVISIONAL,BQS_PROVISIONAL|LEVERAGE_THRESHOLD_INDETERMINATE,True,,0.095,0.2575,0.2637,2.477,1.726,3.541
FOX,FOX CORP CLASS B,GENERAL,PARTIAL,83.3,78.9,65.0,36.7,PROVISIONAL,economics|moat|mgmt|balance,,False,,56.96,24018529509.0,NASDAQ_PUBLIC_SCREENER,FOX,2026-09-24T19:02:43Z,96.1,IOS_GENERAL,4,PROVISIONAL,BQS_PROVISIONAL|LEVERAGE_THRESHOLD_INDETERMINATE,True,,0.095,0.119,0.1717,0.96,0.329,1.558
DAL,DELTA AIR LINES INC,GENERAL,PARTIAL,83.3,71.3,85.0,38.8,PROVISIONAL,economics|moat|mgmt|balance,BASE_EFFECT_SUSPECTED,False,,81.75,53760682703.0,NASDAQ_PUBLIC_SCREENER,DAL,2026-09-24T19:02:43Z,95.7,IOS_GENERAL,5,PROVISIONAL,BQS_PROVISIONAL|LEVERAGE_THRESHOLD_INDETERMINATE,True,,0.095,0.1552,0.2332,1.841,0.926,2.706
APA,APA CORP,RESOURCES,PARTIAL,83.3,69.7,45.0,11.2,PROVISIONAL,economics|moat|runway|mgmt|balance,,False,,43.7,15310360987.0,NASDAQ_PUBLIC_SCREENER,APA,2026-09-24T19:02:43Z,95.5,IOS_GENERAL,6,PROVISIONAL,BQS_PROVISIONAL,False,,0.11,0.2969,0.2799,2.222,1.698,3.077
GM,GENERAL MOTORS CO,INDUSTRIAL,PRESENT,100.0,68.6,90.0,60.2,PROVISIONAL,moat|mgmt|balance,,True,169,83.77,73504115590.0,NASDAQ_PUBLIC_SCREENER,GM,2026-09-24T19:02:43Z,95.3,IOS_GENERAL,7,PROVISIONAL,BQS_PROVISIONAL|LEVERAGE_THRESHOLD_INDETERMINATE,True,,0.1,0.239,0.2917,2.671,1.529,3.734
ADBE,ADOBE INC,SOFTWARE,PRESENT,100.0,89.7,100.0,70.4,PROVISIONAL,moat|balance,,True,13,240.69,93676548000.0,NASDAQ_PUBLIC_SCREENER,ADBE,2026-09-24T19:02:43Z,95.2,IOS_GENERAL,8,PROVISIONAL,BQS_PROVISIONAL,False,,0.095,0.0844,0.1844,0.729,0.172,1.254
TROW,T ROWE PRICE GROUP INC,ASSETMGR_EXCH,PARTIAL,83.3,73.2,90.0,76.5,PROVISIONAL,mgmt|balance,,False,,104.57,22306438435.0,NASDAQ_PUBLIC_SCREENER,TROW,2026-09-24T19:02:43Z,95.0,IOS_BANK,9,PROVISIONAL,BQS_PROVISIONAL,False,,0.095,0.0936,0.1686,1.853,1.139,2.708
AMP,AMERIPRISE FINANCIAL INC,ASSETMGR_EXCH,PARTIAL,83.3,90.2,90.0,63.3,PROVISIONAL,moat|mgmt|balance,,False,,502.79,45199354864.0,NASDAQ_PUBLIC_SCREENER,AMP,2026-09-24T19:02:43Z,94.8,IOS_BANK,10,PROVISIONAL,BQS_PROVISIONAL|LEVERAGE_THRESHOLD_INDETERMINATE,True,,0.095,0.0788,0.1538,2.398,1.549,3.418
CHTR,CHARTER COMMUNICATIONS INC A,GENERAL,PRESENT,100.0,63.9,100.0,77.6,PROVISIONAL,moat,,True,203,116.61,13360881342.0,NASDAQ_PUBLIC_SCREENER,CHTR,2026-09-24T19:02:43Z,94.6,IOS_GENERAL,11,PROVISIONAL,BQS_PROVISIONAL,False,,0.11,0.2803,0.2849,2.102,1.548,2.925
MGM,MGM RESORTS INTERNATIONAL,GENERAL,PRESENT,100.0,63.3,100.0,70.4,PROVISIONAL,moat|balance,BASE_EFFECT_SUSPECTED,True,208,37.85,9777530963.0,NASDAQ_PUBLIC_SCREENER,MGM,2026-09-24T19:02:43Z,94.5,IOS_GENERAL,12,PROVISIONAL,BQS_PROVISIONAL|LEVERAGE_THRESHOLD_INDETERMINATE,True,,0.1,0.1401,0.2401,1.63,0.81,2.388
GDDY,GODADDY INC CLASS A,SOFTWARE,PRESENT,100.0,83.2,100.0,67.3,PROVISIONAL,moat|balance,BASE_EFFECT_SUSPECTED,True,57,96.38,12206305712.0,NASDAQ_PUBLIC_SCREENER,GDDY,2026-09-24T19:02:43Z,94.4,IOS_GENERAL,13,PROVISIONAL,BQS_PROVISIONAL|LEVERAGE_THRESHOLD_INDETERMINATE,True,,0.095,0.103,0.1687,0.792,0.215,1.338
APTV,APTIV PLC,INDUSTRIAL,PRESENT,100.0,61.4,100.0,70.4,PROVISIONAL,moat|balance,BASE_EFFECT_SUSPECTED,True,224,45.17,9378797561.0,NASDAQ_PUBLIC_SCREENER,APTV,2026-09-24T19:02:43Z,94.2,IOS_GENERAL,14,PROVISIONAL,BQS_PROVISIONAL|LEVERAGE_THRESHOLD_INDETERMINATE,True,,0.1,0.1482,0.2008,1.276,0.568,1.935
VZ,VERIZON COMMUNICATIONS INC,GENERAL,PRESENT,100.0,60.5,100.0,51.0,PROVISIONAL,economics|moat|mgmt,,True,233,46.52,193280142397.0,NASDAQ_PUBLIC_SCREENER,VZ,2026-09-24T19:02:43Z,94.1,IOS_GENERAL,15,PROVISIONAL,BQS_PROVISIONAL,False,,0.11,0.1921,0.1935,1.114,0.747,1.676
URI,UNITED RENTALS INC,GENERAL,PARTIAL,83.3,84.6,100.0,45.9,PROVISIONAL,economics|moat|mgmt|balance,,False,,1031.99,64233626223.0,NASDAQ_PUBLIC_SCREENER,URI,2026-09-24T19:02:43Z,93.3,IOS_GENERAL,16,PROVISIONAL,BQS_PROVISIONAL|LEVERAGE_THRESHOLD_INDETERMINATE,True,,0.095,0.0787,0.1787,0.671,0.132,1.178
PYPL,PAYPAL HOLDINGS INC,SOFTWARE,PRESENT,100.0,81.8,100.0,70.4,PROVISIONAL,moat|balance,,True,70,52.51,44920250494.0,NASDAQ_PUBLIC_SCREENER,PYPL,2026-09-24T19:02:43Z,93.3,IOS_GENERAL,17,PROVISIONAL,BQS_PROVISIONAL|LEVERAGE_THRESHOLD_INDETERMINATE,True,,0.095,0.1016,0.1658,0.756,0.191,1.292
LULU,LULULEMON ATHLETICA INC,GENERAL,PRESENT,100.0,83.8,90.0,67.3,PROVISIONAL,moat|balance,,True,51,102.28,10800160866.0,NASDAQ_PUBLIC_SCREENER,LULU,2026-09-24T19:02:43Z,93.1,IOS_GENERAL,18,PROVISIONAL,BQS_PROVISIONAL,False,,0.095,0.0796,0.1796,0.664,0.127,1.169
EXPE,EXPEDIA GROUP INC,GENERAL,PRESENT,100.0,77.8,100.0,70.4,PROVISIONAL,moat|balance,BASE_EFFECT_SUSPECTED,True,97,259.04,29659015605.0,NASDAQ_PUBLIC_SCREENER,EXPE,2026-09-24T19:02:43Z,92.2,IOS_GENERAL,19,PROVISIONAL,BQS_PROVISIONAL|LEVERAGE_THRESHOLD_INDETERMINATE,True,,0.095,0.0914,0.1723,0.695,0.148,1.21
FOXA,FOX CORP CLASS A,GENERAL,PARTIAL,83.3,78.9,65.0,36.7,PROVISIONAL,economics|moat|mgmt|balance,,False,,63.96,26970244863.0,NASDAQ_PUBLIC_SCREENER,FOXA,2026-09-24T19:02:43Z,91.8,IOS_GENERAL,20,PROVISIONAL,BQS_PROVISIONAL|LEVERAGE_THRESHOLD_INDETERMINATE,True,,0.095,0.106,0.1586,0.745,0.183,1.278
