ticker,name,module,data_status,data_coverage_pct,bqs,bqs_coverage_pct,metric_coverage_pct,bqs_confidence,bqs_provisional_components,growth_flags,bqs_eligible_top30,bqs_rank,market_price,market_cap,market_source,market_source_symbol,market_retrieved_at_utc,ios,ios_variant,ios_rank,ios_confidence,ios_provisional_reasons,ios_leverage_indeterminate,ios_gate_reason,discount_rate,owner_yield,expected_return,margin_of_safety,bear_return,bull_return
NEM,NEWMONT CORP,RESOURCES,PRESENT,100.0,98.5,65.0,37.8,PROVISIONAL,economics|moat|mgmt|balance,,True,1,123.55,130183680082.0,NASDAQ_PUBLIC_SCREENER,NEM,2026-09-24T19:02:43Z,63.0,IOS_GENERAL,43,PROVISIONAL,BQS_PROVISIONAL,False,,0.105,0.0561,0.1561,0.06,-0.26,0.351
MA,MASTERCARD INC A,SOFTWARE,PRESENT,100.0,93.5,100.0,70.4,PROVISIONAL,moat|balance,,True,2,559.92,490495485605.0,NASDAQ_PUBLIC_SCREENER,MA,2026-09-24T19:02:43Z,44.6,IOS_GENERAL,81,PROVISIONAL,BQS_PROVISIONAL,False,,0.095,0.0338,0.1338,-0.266,-0.503,-0.043
DXCM,DEXCOM INC,GENERAL,PRESENT,100.0,92.8,100.0,70.4,PROVISIONAL,moat|balance,,True,3,87.73,33105859913.0,NASDAQ_PUBLIC_SCREENER,DXCM,2026-09-24T19:02:43Z,41.5,IOS_GENERAL,95,PROVISIONAL,BQS_PROVISIONAL,False,,0.095,0.0277,0.1277,-0.397,-0.592,-0.215
ACGL,ARCH CAPITAL GROUP LTD,INSURANCE,PRESENT,100.0,92.3,90.0,59.2,PROVISIONAL,economics|moat|balance,,True,4,95.16,32471363630.0,NASDAQ_PUBLIC_SCREENER,ACGL,2026-09-24T19:02:43Z,,IOS_INSURANCE,,NOT_CALCULATED,,True,book value / ROE / crescita sostenibile MISSING,,,,,,
MCO,MOODY S CORP,GENERAL,PRESENT,100.0,92.2,90.0,67.3,PROVISIONAL,moat|balance,,True,5,473.85,82070820000.0,NASDAQ_PUBLIC_SCREENER,MCO,2026-09-24T19:02:43Z,41.7,IOS_GENERAL,93,PROVISIONAL,BQS_PROVISIONAL|LEVERAGE_THRESHOLD_INDETERMINATE,True,,0.095,0.0285,0.1285,-0.379,-0.58,-0.191
RMD,RESMED INC,GENERAL,PRESENT,100.0,92.1,100.0,70.4,PROVISIONAL,moat|balance,,True,6,222.3,32067287624.0,NASDAQ_PUBLIC_SCREENER,RMD,2026-09-24T19:02:43Z,60.0,IOS_GENERAL,50,PROVISIONAL,BQS_PROVISIONAL,False,,0.095,0.049,0.149,0.065,-0.279,0.387
FTNT,FORTINET INC,SEMICONDUCTOR,PRESENT,100.0,91.9,100.0,70.4,PROVISIONAL,moat|balance,,True,7,178.74,131143978337.0,NASDAQ_PUBLIC_SCREENER,FTNT,2026-09-24T19:02:43Z,37.1,IOS_GENERAL,110,PROVISIONAL,BQS_PROVISIONAL,False,,0.105,0.0148,0.1148,-0.719,-0.804,-0.642
ANET,ARISTA NETWORKS INC,SEMICONDUCTOR,PRESENT,100.0,91.9,90.0,67.3,PROVISIONAL,moat|balance,,True,8,203.47,256621379129.0,NASDAQ_PUBLIC_SCREENER,ANET,2026-09-24T19:02:43Z,37.1,IOS_GENERAL,109,PROVISIONAL,BQS_PROVISIONAL,False,,0.105,0.0149,0.1149,-0.719,-0.804,-0.642
IDXX,IDEXX LABORATORIES INC,GENERAL,PRESENT,100.0,91.7,100.0,70.4,PROVISIONAL,moat|balance,,True,9,522.02,41125318174.0,NASDAQ_PUBLIC_SCREENER,IDXX,2026-09-24T19:02:43Z,35.2,IOS_GENERAL,127,PROVISIONAL,BQS_PROVISIONAL,False,,0.095,0.0242,0.1095,-0.543,-0.69,-0.403
META,META PLATFORMS INC CLASS A,SOFTWARE,PRESENT,100.0,91.5,100.0,70.4,PROVISIONAL,moat|balance,,True,10,744.1,1895599382023.0,NASDAQ_PUBLIC_SCREENER,META,2026-09-24T19:02:43Z,36.6,IOS_GENERAL,118,PROVISIONAL,BQS_PROVISIONAL,False,,0.095,0.0135,0.1135,-0.705,-0.8,-0.616
