ticker,name,sector,cik,annual_period,annual_filed,core_metric_coverage_pct,extended_metric_coverage_pct,data_status,data_quality_flags,history_revenue_4y,history_opinc_4y,history_fcf_4y,history_diluted_shares_4y,sbc_current_present,revenue_cagr3_present,opinc_cagr3_present,fcf_cagr3_present,fcf_per_share_cagr3_present,market_price_present,market_cap_present,market_data_present
NVDA,NVIDIA CORP,-,1045810.0,20260131.0,20260225.0,100.0,100.0,PRESENT,OK,True,True,False,True,True,True,True,False,False,True,True,True
AAPL,APPLE INC,-,320193.0,20250930.0,20251031.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
MSFT,MICROSOFT CORP,-,789019.0,20250630.0,20250730.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
AMZN,AMAZON.COM INC,-,1018724.0,20251231.0,20260206.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,False,False,True,True,True
GOOGL,ALPHABET INC CL A,-,1652044.0,20251231.0,20260205.0,83.3,87.5,PARTIAL,MISSING_DILUTED_SHARES,True,True,True,False,True,True,True,True,False,True,True,True
AVGO,BROADCOM INC,-,1730168.0,20251031.0,20251218.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
GOOG,ALPHABET INC CL C,-,1652044.0,20251231.0,20260205.0,83.3,87.5,PARTIAL,MISSING_DILUTED_SHARES,True,True,True,False,True,True,True,True,False,True,True,True
META,META PLATFORMS INC CLASS A,-,1326801.0,20251231.0,20260129.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
MU,MICRON TECHNOLOGY INC,-,723125.0,20250831.0,20251003.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
TSLA,TESLA INC,-,1318605.0,20251231.0,20260129.0,100.0,87.5,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
JPM,JPMORGAN CHASE + CO,-,19617.0,20251231.0,20260213.0,83.3,75.0,PARTIAL,MISSING_REVENUE,False,False,False,True,False,False,False,False,False,True,True,True
