ticker,adsh,total_debt_status,lb,ub,cash_present,ocf_present,flags
BRK.B,0001193125-26-083899,MISSING,-1.14357501794688,10.9306924231547,False,True,BS_CLOSURE_FAILED;CASH_MISSING;FACE_LINE_VALUE_NOT_FOUND;FSDS_FACE_ONLY;INSURER_OCF_INCLUDES_FLOAT;LEVERAGE_THRESHOLD_INDETERMINATE
LLY,0000059478-26-000013,PARTIAL,2.09569975614108,4.67929578302504,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;INTEREST_MISSING_WITH_DEBT;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
JNJ,0000200406-26-000016,PARTIAL,1.15059111292295,3.99335507541786,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
WMT,0000104169-26-000055,PARTIAL,0.981498857211596,4.19400938289426,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;INTEREST_DEBT_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
CSCO,0000858877-25-000111,PARTIAL,1.39131966462341,4.72782357500176,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL;STI_NOT_NETTED
CVX,0000093410-26-000078,CONFLICTING,0.957482542208079,3.88449865935944,False,True,BS_CLOSURE_FAILED;CASH_MISSING;DEBT_CONFLICTING_PRUDENTIAL_VALUE;FSDS_FACE_ONLY;INTEREST_DEBT_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE
CAT,0000018230-26-000008,PARTIAL,-0.380441264162194,5.73191924354715,True,True,BS_CLOSURE_FAILED;FACE_LINE_VALUE_NOT_FOUND;FSDS_FACE_ONLY;INTEREST_MISSING_WITH_DEBT;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
MRK,0000310158-26-000063,PARTIAL,2.11109762020398,4.23111947547353,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;INTEREST_MISSING_WITH_DEBT;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
UNH,0000731766-26-000062,PARTIAL,2.74275270345738,9.31705335837945,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;INSURER_OCF_INCLUDES_FLOAT;LEVERAGE_THRESHOLD_INDETERMINATE
GE,0000040545-26-000008,PARTIAL,0.94904533208387,13.0339697786108,False,True,BS_CLOSURE_FAILED;CASH_MISSING;FSDS_FACE_ONLY;INTEREST_CASH_BASIS;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
PG,0000080424-25-000076,PARTIAL,1.4004602346074,4.09417971600157,False,True,BS_CLOSURE_FAILED;CASH_MISSING;CUSTOM_TAG_DEBT_BY_LABEL;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
PANW,0001327567-25-000027,MISSING,-0.610495156081808,3.62841765339074,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE
RTX,0000101829-26-000006,PARTIAL,2.8641052332734,9.13277183685057,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;INTEREST_CASH_BASIS;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
ORCL,0001193125-26-277521,PARTIAL,-0.753353973168215,5.87803733933765,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
GEV,0001996810-26-000015,MISSING,-1.77421295367957,10.1704431521957,False,True,BS_CLOSURE_FAILED;CASH_MISSING;FSDS_FACE_ONLY;INTEREST_CASH_BASIS;LEVERAGE_THRESHOLD_INDETERMINATE
LIN,0001628280-26-011430,PARTIAL,1.9456038647343,4.05990338164251,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
CRM,0001108524-26-000060,PARTIAL,0.207522005868232,3.05654841291011,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;INTEREST_CASH_BASIS;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL;STI_NOT_NETTED
DIS,0001744489-25-000155,PARTIAL,2.00712667808408,4.5273741782222,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;INTEREST_CASH_BASIS;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
