ticker,adsh,stmt,line,plabel,tag,version,class,value,ddate,qtrs,uom,used_as
NVDA,0001045810-26-000021,BS,21,Short-term debt,DebtCurrent,us-gaap/2025,CURRENT_DEBT_AGGREGATE,999000000,20260131,0,USD,current_debt
NVDA,0001045810-26-000021,BS,23,Long-term debt,LongTermDebtNoncurrent,us-gaap/2025,NONCURRENT_DEBT_AGGREGATE,7469000000,20260131,0,USD,long_term_debt
NVDA,0001045810-26-000021,BS,21,Short-term debt,DebtCurrent,us-gaap/2025,CURRENT_DEBT_AGGREGATE,999000000,20260131,0,USD,total_debt
NVDA,0001045810-26-000021,BS,23,Long-term debt,LongTermDebtNoncurrent,us-gaap/2025,NONCURRENT_DEBT_AGGREGATE,7469000000,20260131,0,USD,total_debt
NVDA,0001045810-26-000021,BS,24,Long-term operating lease liabilities,OperatingLeaseLiabilityNoncurrent,us-gaap/2025,OPERATING_LEASE,2572000000,20260131,0,USD,operating_lease_liabilities
NVDA,0001045810-26-000021,BS,3,Cash and cash equivalents,CashAndCashEquivalentsAtCarryingValue,us-gaap/2025,CASH,10605000000,20260131,0,USD,cash_and_equivalents
NVDA,0001045810-26-000021,BS,35,Total liabilities and shareholders' equity,LiabilitiesAndStockholdersEquity,us-gaap/2025,BALANCE_CONTROL,206803000000,20260131,0,USD,total_liabilities_and_equity
NVDA,0001045810-26-000021,BS,26,Total liabilities,Liabilities,us-gaap/2025,BALANCE_CONTROL,49510000000,20260131,0,USD,total_liabilities
NVDA,0001045810-26-000021,IS,10,Interest expense,InterestExpenseNonoperating,us-gaap/2025,GROSS_INTEREST,259000000,20260131,4,USD,interest_expense
AAPL,0000320193-25-000079,BS,21,Commercial paper,CommercialPaper,us-gaap/2025,CURRENT_DEBT,7979000000,20250930,0,USD,current_debt
AAPL,0000320193-25-000079,BS,22,Term debt,LongTermDebtCurrent,us-gaap/2025,CURRENT_DEBT,12350000000,20250930,0,USD,current_debt
AAPL,0000320193-25-000079,BS,25,Term debt,LongTermDebtNoncurrent,us-gaap/2025,NONCURRENT_DEBT_AGGREGATE,78328000000,20250930,0,USD,long_term_debt
AAPL,0000320193-25-000079,BS,21,Commercial paper,CommercialPaper,us-gaap/2025,CURRENT_DEBT,7979000000,20250930,0,USD,total_debt
AAPL,0000320193-25-000079,BS,22,Term debt,LongTermDebtCurrent,us-gaap/2025,CURRENT_DEBT,12350000000,20250930,0,USD,total_debt
AAPL,0000320193-25-000079,BS,25,Term debt,LongTermDebtNoncurrent,us-gaap/2025,NONCURRENT_DEBT_AGGREGATE,78328000000,20250930,0,USD,total_debt
AAPL,0000320193-25-000079,BS,3,Cash and cash equivalents,CashAndCashEquivalentsAtCarryingValue,us-gaap/2025,CASH,35934000000,20250930,0,USD,cash_and_equivalents
AAPL,0000320193-25-000079,BS,4,Marketable securities,MarketableSecuritiesCurrent,us-gaap/2025,STI,18763000000,20250930,0,USD,short_term_investments
AAPL,0000320193-25-000079,BS,37,Total liabilities and shareholders equity,LiabilitiesAndStockholdersEquity,us-gaap/2025,BALANCE_CONTROL,359241000000,20250930,0,USD,total_liabilities_and_equity
AAPL,0000320193-25-000079,BS,28,Total liabilities,Liabilities,us-gaap/2025,BALANCE_CONTROL,285508000000,20250930,0,USD,total_liabilities
MSFT,0000950170-25-100235,BS,20,Short-term debt,CommercialPaper,us-gaap/2024,CURRENT_DEBT,0,20250630,0,USD,current_debt
MSFT,0000950170-25-100235,BS,21,Current portion of long-term debt,LongTermDebtCurrent,us-gaap/2024,CURRENT_DEBT,2999000000,20250630,0,USD,current_debt
