queue_rank,ticker,name,selection_lane,ios,inflection_score,bqs,status
1,FISV,FISERV INC,V,96.9,,79.3,R10_DIAGNOSTIC_QUEUE_NOT_FORWARD_AUTHORIZED
2,ADBE,ADOBE INC,V,95.2,,89.7,R10_DIAGNOSTIC_QUEUE_NOT_FORWARD_AUTHORIZED
3,CHTR,CHARTER COMMUNICATIONS INC A,V,94.6,,63.9,R10_DIAGNOSTIC_QUEUE_NOT_FORWARD_AUTHORIZED
4,MGM,MGM RESORTS INTERNATIONAL,V,94.5,,63.3,R10_DIAGNOSTIC_QUEUE_NOT_FORWARD_AUTHORIZED
5,APTV,APTIV PLC,V,94.2,,61.4,R10_DIAGNOSTIC_QUEUE_NOT_FORWARD_AUTHORIZED
6,PYPL,PAYPAL HOLDINGS INC,V,93.3,,81.8,R10_DIAGNOSTIC_QUEUE_NOT_FORWARD_AUTHORIZED
7,LULU,LULULEMON ATHLETICA INC,V,93.2,,83.8,R10_DIAGNOSTIC_QUEUE_NOT_FORWARD_AUTHORIZED
8,FIX,COMFORT SYSTEMS USA INC,I,,99.012,83.9,R10_DIAGNOSTIC_QUEUE_NOT_FORWARD_AUTHORIZED
9,ANET,ARISTA NETWORKS INC,I,,98.42,91.9,R10_DIAGNOSTIC_QUEUE_NOT_FORWARD_AUTHORIZED
10,META,META PLATFORMS INC CLASS A,I,,98.272,91.5,R10_DIAGNOSTIC_QUEUE_NOT_FORWARD_AUTHORIZED
