ticker,name,module_v41,module_v42_r10,bqs_v41,bqs_v42,bqs_rank_v41,bqs_confidence,metric_coverage_pct,data_coverage_pct,market_price_frozen,market_cap_frozen,market_source,ios_v41,ios_rank_v41,ios_variant_v41,ios_v42,ios_rank_v42,ios_variant_v42,ios_gate_v42,ios_delta_v42_minus_v41,growth_policy_v42,growth_used_v42,dcf_growth_used_v42,owner_yield_v42,expected_return_v42,margin_of_safety_v42,bear_return_v42,bull_return_v42
2602335D,CONTRA HOLOGIC INCORPO,UNKNOWN,UNKNOWN,,,,NOT_CALCULATED,0.0,0.0,,,MISSING,,,IOS_GENERAL,,,IOS_GENERAL,,,,,,,,,,
A,AGILENT TECHNOLOGIES INC,GENERAL,GENERAL,75.8,75.8,107,PROVISIONAL,70.4,100.0,165.32,46608478143.0,NASDAQ_PUBLIC_SCREENER,11.4,252,IOS_GENERAL,11.4,124,IOS_GENERAL,,0.0,G2_GUARDED_PER_SHARE,0.0048,0.0048,0.022,0.0268,-0.705,-0.767,-0.615
AAPL,APPLE INC,SEMICONDUCTOR,SEMICONDUCTOR,74.6,74.6,117,PROVISIONAL,67.3,100.0,337.02,4918530543600.0,NASDAQ_PUBLIC_SCREENER,11.2,258,IOS_GENERAL,11.2,129,IOS_GENERAL,,0.0,G2_GUARDED_PER_SHARE,0.0,0.0,0.0175,0.0175,-0.799,-0.833,-0.743
ABBV,ABBVIE INC,GENERAL,GENERAL,62.8,62.8,210,PROVISIONAL,77.6,100.0,265.08,468427449908.0,NASDAQ_PUBLIC_SCREENER,12.8,235,IOS_GENERAL,9.4,152,IOS_GENERAL,,-3.4,G2_GUARDED_PER_SHARE,0.0,0.0,0.036,0.036,-0.609,-0.673,-0.506
ABNB,AIRBNB INC CLASS A,GENERAL,GENERAL,86.2,86.2,31,PROVISIONAL,48.0,100.0,149.58,89566362314.0,NASDAQ_PUBLIC_SCREENER,43.8,85,IOS_GENERAL,,,IOS_GENERAL,capex MISSING/CONFLICTING,,,,,,,,,
ABT,ABBOTT LABORATORIES,GENERAL,GENERAL,69.6,69.6,163,PROVISIONAL,70.4,100.0,103.49,179077367303.0,NASDAQ_PUBLIC_SCREENER,11.1,264,IOS_GENERAL,10.4,144,IOS_GENERAL,,-0.7,G2_GUARDED_PER_SHARE,0.0,0.0,0.0376,0.0376,-0.539,-0.623,-0.404
ACGL,ARCH CAPITAL GROUP LTD,INSURANCE,INSURANCE,92.3,92.3,4,PROVISIONAL,59.2,100.0,95.16,32471363630.0,NASDAQ_PUBLIC_SCREENER,,,IOS_INSURANCE,,,IOS_INSURANCE,book value / ROE / crescita sostenibile MISSING,,,,,,,,,
ACN,ACCENTURE PLC CL A,SOFTWARE,SOFTWARE,74.3,74.3,119,PROVISIONAL,70.4,100.0,183.52,122501473739.0,NASDAQ_PUBLIC_SCREENER,49.1,66,IOS_GENERAL,49.1,51,IOS_GENERAL,,0.0,G2_GUARDED_PER_SHARE,0.0419,0.0419,0.0717,0.1136,0.128,-0.235,0.473
ADBE,ADOBE INC,SOFTWARE,SOFTWARE,89.7,89.7,13,PROVISIONAL,70.4,100.0,240.69,93676548000.0,NASDAQ_PUBLIC_SCREENER,95.2,8,IOS_GENERAL,95.2,2,IOS_GENERAL,,0.0,G2_GUARDED_PER_SHARE,0.1052,0.1052,0.0844,0.1897,0.729,0.172,1.254
ADI,ANALOG DEVICES INC,SEMICONDUCTOR,SEMICONDUCTOR,74.2,74.2,121,PROVISIONAL,70.4,100.0,385.23,186669154082.0,NASDAQ_PUBLIC_SCREENER,11.1,260,IOS_GENERAL,11.1,131,IOS_GENERAL,,0.0,G2_GUARDED_PER_SHARE,0.0,0.0,0.0212,0.0212,-0.756,-0.798,-0.688
ADM,ARCHER DANIELS MIDLAND CO,GENERAL,GENERAL,48.1,48.1,279,PROVISIONAL,44.9,100.0,82.15,39592979743.0,NASDAQ_PUBLIC_SCREENER,,,IOS_GENERAL,,,IOS_GENERAL,BQS<60,,,,,,,,,
ADP,AUTOMATIC DATA PROCESSING,SOFTWARE,SOFTWARE,84.6,84.6,43,PROVISIONAL,25.5,100.0,263.68,104750238492.0,NASDAQ_PUBLIC_SCREENER,41.0,97,IOS_GENERAL,,,IOS_GENERAL,capex MISSING/CONFLICTING,,,,,,,,,
ADSK,AUTODESK INC,SOFTWARE,SOFTWARE,84.0,84.0,48,PROVISIONAL,70.4,100.0,217.15,45384350000.0,NASDAQ_PUBLIC_SCREENER,45.0,79,IOS_GENERAL,30.7,82,IOS_GENERAL,,-14.3,G2_GUARDED_PER_SHARE,0.0634,0.0634,0.0357,0.0992,-0.384,-0.583,-0.197
AEE,AMEREN CORPORATION,UTILITY,UTILITY,62.6,62.6,,PROVISIONAL,28.6,83.3,99.74,27612345855.0,NASDAQ_PUBLIC_SCREENER,9.4,300,IOS_GENERAL,,,IOS_GENERAL,guarded growth inputs MISSING/CONFLICTING,,G2_GUARDED_PER_SHARE,,,,,,,
AEP,AMERICAN ELECTRIC POWER,UTILITY,UTILITY,68.2,68.2,171,PROVISIONAL,61.2,100.0,118.4,64456646477.0,NASDAQ_PUBLIC_SCREENER,21.6,190,IOS_GENERAL,,,IOS_GENERAL,SBC MISSING/CONFLICTING,,,,,,,,,
AES,AES CORP,UTILITY,UTILITY,64.5,64.5,,PROVISIONAL,26.5,83.3,14.81,10566026110.0,NASDAQ_PUBLIC_SCREENER,9.7,295,IOS_GENERAL,,,IOS_GENERAL,SBC MISSING/CONFLICTING,,,,,,,,,
AFL,AFLAC INC,INSURANCE,INSURANCE,59.9,59.9,239,PROVISIONAL,40.8,100.0,115.23,57769788229.0,NASDAQ_PUBLIC_SCREENER,,,IOS_INSURANCE,,,IOS_INSURANCE,BQS<60,,,,,,,,,
AIG,AMERICAN INTERNATIONAL GROUP,INSURANCE,INSURANCE,35.0,35.0,309,PROVISIONAL,40.8,100.0,75.58,39520265713.0,NASDAQ_PUBLIC_SCREENER,,,IOS_INSURANCE,,,IOS_INSURANCE,BQS<60,,,,,,,,,
AIZ,ASSURANT INC,INSURANCE,INSURANCE,76.4,76.4,104,PROVISIONAL,59.2,100.0,266.97,13167966076.0,NASDAQ_PUBLIC_SCREENER,,,IOS_INSURANCE,,,IOS_INSURANCE,combined ratio MISSING: sottoscrizione non valutabile,,,,,,,,,
AJG,ARTHUR J GALLAGHER + CO,INSURANCE,INSURANCE,45.6,45.6,,PROVISIONAL,45.9,83.3,229.64,58856732000.0,NASDAQ_PUBLIC_SCREENER,,,IOS_INSURANCE,,,IOS_INSURANCE,BQS<60,,,,,,,,,
AKAM,AKAMAI TECHNOLOGIES INC,SOFTWARE,SOFTWARE,68.6,68.6,,PROVISIONAL,30.6,83.3,118.44,17021795170.0,NASDAQ_PUBLIC_SCREENER,10.3,286,IOS_GENERAL,,,IOS_GENERAL,guarded growth inputs MISSING/CONFLICTING,,G2_GUARDED_PER_SHARE,,,,,,,
ALB,ALBEMARLE CORP,GENERAL,GENERAL,32.1,32.1,315,PROVISIONAL,61.2,100.0,113.47,13390033818.0,NASDAQ_PUBLIC_SCREENER,,,IOS_GENERAL,,,IOS_GENERAL,BQS<60,,,,,,,,,
ALGN,ALIGN TECHNOLOGY INC,GENERAL,GENERAL,71.7,71.7,140,PROVISIONAL,67.3,100.0,148.17,10525974871.0,NASDAQ_PUBLIC_SCREENER,14.5,222,IOS_GENERAL,14.5,111,IOS_GENERAL,,0.0,G2_GUARDED_PER_SHARE,0.0261,0.0261,0.029,0.0551,-0.574,-0.693,-0.443
ALL,ALLSTATE CORP,INSURANCE,INSURANCE,85.7,85.7,36,PROVISIONAL,52.0,100.0,225.66,57059924997.0,NASDAQ_PUBLIC_SCREENER,,,IOS_INSURANCE,,,IOS_INSURANCE,combined ratio MISSING: sottoscrizione non valutabile,,,,,,,,,
ALLE,ALLEGION PLC,GENERAL,GENERAL,85.2,85.2,,PROVISIONAL,62.2,83.3,154.09,13103318355.0,NASDAQ_PUBLIC_SCREENER,45.3,78,IOS_GENERAL,,,IOS_GENERAL,share_change MISSING/CONFLICTING,,,,,,,,,
AMAT,APPLIED MATERIALS INC,SEMICONDUCTOR,SEMICONDUCTOR,82.9,82.9,59,PROVISIONAL,70.4,100.0,474.38,376466755010.0,NASDAQ_PUBLIC_SCREENER,13.9,225,IOS_GENERAL,13.9,113,IOS_GENERAL,,0.0,G2_GUARDED_PER_SHARE,0.0323,0.0323,0.0134,0.0457,-0.823,-0.873,-0.775
AMCR,AMCOR PLC,GENERAL,GENERAL,44.7,44.7,,PROVISIONAL,69.4,83.3,42.8,19788395532.0,NASDAQ_PUBLIC_SCREENER,,,IOS_GENERAL,,,IOS_GENERAL,BQS<60,,,,,,,,,
AMD,ADVANCED MICRO DEVICES,SEMICONDUCTOR,SEMICONDUCTOR,80.2,80.2,78,PROVISIONAL,70.4,100.0,614.61,1003335485564.0,NASDAQ_PUBLIC_SCREENER,32.1,147,IOS_GENERAL,44.2,64,IOS_GENERAL,,12.1,G2_GUARDED_PER_SHARE,0.1364,0.12,0.0051,0.1415,-0.904,-0.933,-0.878
AME,AMETEK INC,GENERAL,GENERAL,82.1,82.1,67,PROVISIONAL,55.1,100.0,246.45,56501433584.0,NASDAQ_PUBLIC_SCREENER,12.3,241,IOS_GENERAL,,,IOS_GENERAL,guarded growth inputs MISSING/CONFLICTING,,G2_GUARDED_PER_SHARE,,,,,,,
AMGN,AMGEN INC,GENERAL,GENERAL,62.5,62.5,213,PROVISIONAL,77.6,100.0,406.09,219545250910.0,NASDAQ_PUBLIC_SCREENER,38.6,104,IOS_GENERAL,9.4,154,IOS_GENERAL,,-29.2,G2_GUARDED_PER_SHARE,0.0,0.0,0.0346,0.0328,-0.624,-0.685,-0.524
AMP,AMERIPRISE FINANCIAL INC,ASSETMGR_EXCH,ASSETMGR_EXCH,90.2,90.2,,PROVISIONAL,63.3,83.3,502.79,45199354864.0,NASDAQ_PUBLIC_SCREENER,94.8,10,IOS_BANK,,,IOS_BANK,share_change MISSING/CONFLICTING,,,,,,,,,
AMT,AMERICAN TOWER CORP,REIT,REIT,60.9,60.9,229,PROVISIONAL,63.3,100.0,170.78,79576656997.0,NASDAQ_PUBLIC_SCREENER,,,IOS_REIT,,,IOS_REIT,AFFO MISSING: FFO e capex di manutenzione non separati,,,,,,,,,
AMZN,AMAZON.COM INC,GENERAL,GENERAL,71.7,71.7,141,PROVISIONAL,59.2,100.0,249.27,2688704384092.0,NASDAQ_PUBLIC_SCREENER,24.3,180,IOS_GENERAL,,,IOS_GENERAL,guarded growth inputs MISSING/CONFLICTING,,G2_GUARDED_PER_SHARE,,,,,,,
ANET,ARISTA NETWORKS INC,SEMICONDUCTOR,SEMICONDUCTOR,91.9,91.9,8,PROVISIONAL,67.3,100.0,203.47,256621379129.0,NASDAQ_PUBLIC_SCREENER,37.1,109,IOS_GENERAL,52.5,42,IOS_GENERAL,,15.4,G2_GUARDED_PER_SHARE,0.15,0.12,0.0149,0.1649,-0.719,-0.804,-0.642
AON,AON PLC CLASS A,INSURANCE,INSURANCE,70.2,70.2,153,PROVISIONAL,82.7,100.0,281.6,59734522214.0,NASDAQ_PUBLIC_SCREENER,,,IOS_INSURANCE,,,IOS_INSURANCE,combined ratio MISSING: sottoscrizione non valutabile,,,,,,,,,
AOS,SMITH (A.O.) CORP,GENERAL,GENERAL,69.6,69.6,,PROVISIONAL,36.7,83.3,57.74,7847361005.0,NASDAQ_PUBLIC_SCREENER,24.7,177,IOS_GENERAL,,,IOS_GENERAL,share_change MISSING/CONFLICTING,,,,,,,,,
APA,APA CORP,RESOURCES,RESOURCES,69.7,69.7,,PROVISIONAL,11.2,83.3,43.7,15310360987.0,NASDAQ_PUBLIC_SCREENER,95.5,6,IOS_GENERAL,,,IOS_GENERAL,capex MISSING/CONFLICTING,,,,,,,,,
APD,AIR PRODUCTS + CHEMICALS INC,GENERAL,GENERAL,34.8,34.8,,PROVISIONAL,39.8,83.3,286.97,63904066544.0,NASDAQ_PUBLIC_SCREENER,,,IOS_GENERAL,,,IOS_GENERAL,BQS<60,,,,,,,,,
APH,AMPHENOL CORP CL A,GENERAL,GENERAL,88.2,88.2,21,PROVISIONAL,70.4,100.0,82.19,202677820662.0,NASDAQ_PUBLIC_SCREENER,34.9,130,IOS_GENERAL,21.3,94,IOS_GENERAL,,-13.6,G2_GUARDED_PER_SHARE,0.0592,0.0592,0.0209,0.0692,-0.646,-0.76,-0.537
APO,APOLLO GLOBAL MANAGEMENT INC,ASSETMGR_EXCH,ASSETMGR_EXCH,86.9,86.9,29,PROVISIONAL,60.2,100.0,124.36,73439947253.0,NASDAQ_PUBLIC_SCREENER,58.1,52,IOS_BANK,58.1,27,IOS_BANK,,0.0,,,,0.0475,0.1225,0.186,-0.111,0.541
APP,APPLOVIN CORP CLASS A,SOFTWARE,SOFTWARE,78.1,78.1,94,PROVISIONAL,45.9,100.0,315.25,105498727750.0,NASDAQ_PUBLIC_SCREENER,44.0,84,IOS_GENERAL,,,IOS_GENERAL,capex MISSING/CONFLICTING,,,,,,,,,
APTV,APTIV PLC,INDUSTRIAL,INDUSTRIAL,61.4,61.4,224,PROVISIONAL,70.4,100.0,45.17,9378797561.0,NASDAQ_PUBLIC_SCREENER,94.2,14,IOS_GENERAL,94.2,5,IOS_GENERAL,,0.0,G2_GUARDED_PER_SHARE,0.0526,0.0526,0.1482,0.2008,1.276,0.568,1.935
ARE,ALEXANDRIA REAL ESTATE EQUIT,REIT,REIT,29.1,29.1,,PROVISIONAL,20.4,66.7,51.86,9036478980.0,NASDAQ_PUBLIC_SCREENER,,,IOS_REIT,,,IOS_REIT,BQS<60,,,,,,,,,
ARES,ARES MANAGEMENT CORP A,ASSETMGR_EXCH,ASSETMGR_EXCH,79.0,79.0,,PROVISIONAL,48.0,83.3,121.48,40122077779.0,NASDAQ_PUBLIC_SCREENER,,,IOS_BANK,,,IOS_BANK,book value / ROE / crescita sostenibile MISSING,,,,,,,,,
ATO,ATMOS ENERGY CORP,UTILITY,UTILITY,79.3,79.3,88,PROVISIONAL,64.3,100.0,156.24,26402771521.0,NASDAQ_PUBLIC_SCREENER,11.9,247,IOS_GENERAL,,,IOS_GENERAL,guarded growth inputs MISSING/CONFLICTING,,G2_GUARDED_PER_SHARE,,,,,,,
AVGO,BROADCOM INC,SEMICONDUCTOR,SEMICONDUCTOR,75.5,75.5,112,PROVISIONAL,70.4,100.0,354.99,1694590865776.0,NASDAQ_PUBLIC_SCREENER,28.2,163,IOS_GENERAL,11.3,126,IOS_GENERAL,,-16.9,G2_GUARDED_PER_SHARE,0.0,0.0,0.0114,-0.0043,-0.868,-0.891,-0.832
AVY,AVERY DENNISON CORP,GENERAL,GENERAL,42.5,42.5,296,PROVISIONAL,52.0,100.0,172.66,13085580598.0,NASDAQ_PUBLIC_SCREENER,,,IOS_GENERAL,,,IOS_GENERAL,BQS<60,,,,,,,,,
AWK,AMERICAN WATER WORKS CO INC,UTILITY,UTILITY,74.8,74.8,,PROVISIONAL,28.6,83.3,133.06,26442879276.0,NASDAQ_PUBLIC_SCREENER,11.2,257,IOS_GENERAL,,,IOS_GENERAL,SBC MISSING/CONFLICTING,,,,,,,,,
AXON,AXON ENTERPRISE INC,INDUSTRIAL,INDUSTRIAL,42.7,42.7,294,PROVISIONAL,61.2,100.0,450.61,36606391573.0,NASDAQ_PUBLIC_SCREENER,,,IOS_GENERAL,,,IOS_GENERAL,BQS<60,,,,,,,,,
AXP,AMERICAN EXPRESS CO,BANK,BANK,75.4,75.4,,PROVISIONAL,61.2,83.3,301.96,203916557173.0,NASDAQ_PUBLIC_SCREENER,80.1,27,IOS_BANK,80.1,12,IOS_BANK,,0.0,,,,0.0531,0.1331,0.6,0.2,1.08
AZO,AUTOZONE INC,GENERAL,GENERAL,71.8,71.8,139,PROVISIONAL,70.4,100.0,2843.34,46418534886.0,NASDAQ_PUBLIC_SCREENER,25.2,174,IOS_GENERAL,10.8,139,IOS_GENERAL,,-14.4,G2_GUARDED_PER_SHARE,0.0,0.0,0.0359,0.0359,-0.529,-0.62,-0.384
BA,BOEING CO/THE,INDUSTRIAL,INDUSTRIAL,48.0,48.0,,PROVISIONAL,56.1,83.3,199.93,158018678099.0,NASDAQ_PUBLIC_SCREENER,,,IOS_GENERAL,,,IOS_GENERAL,BQS<60,,,,,,,,,
BAC,BANK OF AMERICA CORP,BANK,BANK,54.3,54.3,261,PROVISIONAL,70.4,100.0,56.0,391593908440.0,NASDAQ_PUBLIC_SCREENER,,,IOS_BANK,,,IOS_BANK,BQS<60,,,,,,,,,
BALL,BALL CORP,INDUSTRIAL,INDUSTRIAL,81.7,81.7,,PROVISIONAL,18.4,83.3,58.82,15569851459.0,NASDAQ_PUBLIC_SCREENER,14.9,218,IOS_GENERAL,,,IOS_GENERAL,SBC MISSING/CONFLICTING,,,,,,,,,
BAX,BAXTER INTERNATIONAL INC,GENERAL,GENERAL,33.7,33.7,312,PROVISIONAL,65.3,100.0,23.49,12144236017.0,NASDAQ_PUBLIC_SCREENER,,,IOS_GENERAL,,,IOS_GENERAL,BQS<60,,,,,,,,,
BBY,BEST BUY CO INC,GENERAL,GENERAL,81.2,81.2,,PROVISIONAL,30.6,83.3,90.8,19043274978.0,NASDAQ_PUBLIC_SCREENER,18.9,200,IOS_GENERAL,,,IOS_GENERAL,guarded growth inputs MISSING/CONFLICTING,,G2_GUARDED_PER_SHARE,,,,,,,
BDX,BECTON DICKINSON AND CO,GENERAL,GENERAL,59.8,59.8,,PROVISIONAL,43.9,66.7,182.52,49716038736.0,NASDAQ_PUBLIC_SCREENER,,,IOS_GENERAL,,,IOS_GENERAL,BQS<60,,,,,,,,,
BEN,FRANKLIN TEMPLETON INC,ASSETMGR_EXCH,ASSETMGR_EXCH,38.2,38.2,,PROVISIONAL,79.6,83.3,32.71,16619195726.0,NASDAQ_PUBLIC_SCREENER,,,IOS_BANK,,,IOS_BANK,BQS<60,,,,,,,,,
BF.B,BROWN FORMAN CORP CLASS B,GENERAL,GENERAL,79.6,79.6,,PROVISIONAL,62.2,83.3,,,MISSING,,,IOS_GENERAL,,,IOS_GENERAL,market cap MISSING/CONFLICTING,,,,,,,,,
BG,BUNGE GLOBAL SA,GENERAL,GENERAL,34.1,34.1,,PROVISIONAL,32.7,83.3,111.48,21417439832.0,NASDAQ_PUBLIC_SCREENER,,,IOS_GENERAL,,,IOS_GENERAL,BQS<60,,,,,,,,,
BIIB,BIOGEN INC,GENERAL,GENERAL,66.9,66.9,186,PROVISIONAL,40.8,100.0,227.53,33618467165.0,NASDAQ_PUBLIC_SCREENER,11.1,265,IOS_GENERAL,11.1,134,IOS_GENERAL,,0.0,G2_GUARDED_PER_SHARE,0.0,0.0,0.0524,0.0441,-0.357,-0.475,-0.17
BKNG,BOOKING HOLDINGS INC,GENERAL,GENERAL,87.8,87.8,,PROVISIONAL,64.3,83.3,155.9,117140219950.0,NASDAQ_PUBLIC_SCREENER,90.8,22,IOS_GENERAL,91.4,9,IOS_GENERAL,,0.6,G2_GUARDED_PER_SHARE,0.15,0.12,0.0723,0.2223,0.573,0.066,1.049
BKR,BAKER HUGHES CO,RESOURCES,RESOURCES,80.6,80.6,,PROVISIONAL,44.9,83.3,58.03,57604876340.0,NASDAQ_PUBLIC_SCREENER,42.1,91,IOS_GENERAL,,,IOS_GENERAL,share_change MISSING/CONFLICTING,,,,,,,,,
BLDR,BUILDERS FIRSTSOURCE INC,GENERAL,GENERAL,48.0,48.0,280,PROVISIONAL,77.6,100.0,59.16,6365406396.0,NASDAQ_PUBLIC_SCREENER,,,IOS_GENERAL,,,IOS_GENERAL,BQS<60,,,,,,,,,
BLK,BLACKROCK INC,ASSETMGR_EXCH,ASSETMGR_EXCH,38.4,38.4,305,PROVISIONAL,56.1,100.0,1060.89,164299248181.0,NASDAQ_PUBLIC_SCREENER,,,IOS_BANK,,,IOS_BANK,BQS<60,,,,,,,,,
BMY,BRISTOL MYERS SQUIBB CO,GENERAL,GENERAL,59.3,59.3,,PROVISIONAL,36.7,83.3,61.15,124912001214.0,NASDAQ_PUBLIC_SCREENER,,,IOS_GENERAL,,,IOS_GENERAL,BQS<60,,,,,,,,,
BNY,BANK OF NEW YORK MELLON CORP,BANK,BANK,58.1,58.1,,PROVISIONAL,57.1,83.3,149.51,101443154270.0,NASDAQ_PUBLIC_SCREENER,,,IOS_BANK,,,IOS_BANK,BQS<60,,,,,,,,,
BR,BROADRIDGE FINANCIAL SOLUTIO,SOFTWARE,SOFTWARE,82.3,82.3,66,PROVISIONAL,70.4,100.0,163.45,18636862883.0,NASDAQ_PUBLIC_SCREENER,45.5,77,IOS_GENERAL,45.5,61,IOS_GENERAL,,0.0,G2_GUARDED_PER_SHARE,0.0646,0.0646,0.0566,0.1212,-0.02,-0.336,0.278
