ticker,cik,error
ABNB,0001559720,UnicodeDecodeError
ADP,0000008670,UnicodeDecodeError
AEE,0001002910,UnicodeDecodeError
AEP,0000004904,UnicodeDecodeError
AES,0000874761,UnicodeDecodeError
AKAM,0001086222,UnicodeDecodeError
ALLE,0001579241,UnicodeDecodeError
AME,0001037868,UnicodeDecodeError
AMP,0000820027,UnicodeDecodeError
AOS,0000091142,UnicodeDecodeError
APA,0001841666,UnicodeDecodeError
APP,0001751008,UnicodeDecodeError
AWK,0001410636,UnicodeDecodeError
BALL,0000009389,UnicodeDecodeError
BBY,0000764478,UnicodeDecodeError
BKR,0001701605,UnicodeDecodeError
CAT,0000018230,UnicodeDecodeError
CCL,0000815097,UnicodeDecodeError
CEG,0001868275,UnicodeDecodeError
CL,0000021665,UnicodeDecodeError
CMCSA,0001166691,UnicodeDecodeError
CMI,0000026172,UnicodeDecodeError
CMS,0000811156,UnicodeDecodeError
CNP,0001130310,UnicodeDecodeError
CPRT,0000900075,UnicodeDecodeError
CRH,0000849395,UnicodeDecodeError
CSX,0000277948,UnicodeDecodeError
CTAS,0000723254,UnicodeDecodeError
CTVA,0001755672,UnicodeDecodeError
D,0000715957,UnicodeDecodeError
DAL,0000027904,UnicodeDecodeError
DELL,0001571996,UnicodeDecodeError
DGX,0001022079,UnicodeDecodeError
DIS,0001744489,UnicodeDecodeError
DPZ,0001286681,UnicodeDecodeError
DTE,0000936340,UnicodeDecodeError
DUK,0001326160,UnicodeDecodeError
DVN,0001090012,UnicodeDecodeError
EIX,0000827052,UnicodeDecodeError
EOG,0000821189,UnicodeDecodeError
ES,0000072741,UnicodeDecodeError
ETN,0001551182,UnicodeDecodeError
ETR,0000065984,UnicodeDecodeError
EXC,0001109357,UnicodeDecodeError
FE,0001031296,UnicodeDecodeError
FOX,0001754301,UnicodeDecodeError
FOXA,0001754301,UnicodeDecodeError
GD,0000040533,UnicodeDecodeError
GDDY,0001609711,UnicodeDecodeError
GLW,0000024741,UnicodeDecodeError
GM,0001467858,UnicodeDecodeError
GOOG,0001652044,UnicodeDecodeError
GOOGL,0001652044,UnicodeDecodeError
GPN,0001123360,UnicodeDecodeError
GRMN,0001121788,UnicodeDecodeError
HAL,0000045012,UnicodeDecodeError
HLT,0001585689,UnicodeDecodeError
HON,0000773840,UnicodeDecodeError
HUBB,0000048898,UnicodeDecodeError
HWM,0000004281,UnicodeDecodeError
INCY,0000879169,UnicodeDecodeError
IR,0001699150,UnicodeDecodeError
IT,0000749251,UnicodeDecodeError
ITW,0000049826,UnicodeDecodeError
JBHT,0000728535,UnicodeDecodeError
JBL,0000898293,UnicodeDecodeError
KEYS,0001601046,UnicodeDecodeError
KMB,0000055785,UnicodeDecodeError
KMI,0001506307,UnicodeDecodeError
KVUE,0001944048,UnicodeDecodeError
LDOS,0001336920,UnicodeDecodeError
LHX,0000202058,UnicodeDecodeError
LLY,0000059478,UnicodeDecodeError
LMT,0000936468,UnicodeDecodeError
LNT,0000352541,UnicodeDecodeError
LVS,0001300514,UnicodeDecodeError
MAR,0001048286,UnicodeDecodeError
MAS,0000062996,UnicodeDecodeError
MCK,0000927653,UnicodeDecodeError
MDLZ,0001103982,UnicodeDecodeError
MKC,0000063754,UnicodeDecodeError
MO,0000764180,UnicodeDecodeError
MRK,0000310158,UnicodeDecodeError
NCLH,0001513761,UnicodeDecodeError
NDAQ,0001120193,UnicodeDecodeError
NEM,0001164727,UnicodeDecodeError
NSC,0000702165,UnicodeDecodeError
NVDA,0001045810,UnicodeDecodeError
ODFL,0000878927,UnicodeDecodeError
OKE,0001039684,UnicodeDecodeError
OXY,0000797468,UnicodeDecodeError
PCAR,0000075362,UnicodeDecodeError
PCG,0001004980,UnicodeDecodeError
PEG,0000788784,UnicodeDecodeError
PG,0000080424,UnicodeDecodeError
PH,0000076334,UnicodeDecodeError
PKG,0000075677,UnicodeDecodeError
PM,0001413329,UnicodeDecodeError
PPG,0000079879,UnicodeDecodeError
Q,0002058873,UnicodeDecodeError
RCL,0000884887,UnicodeDecodeError
RL,0001037038,UnicodeDecodeError
ROP,0000882835,UnicodeDecodeError
RSG,0001060391,UnicodeDecodeError
RTX,0000101829,UnicodeDecodeError
RVTY,0000031791,UnicodeDecodeError
SNA,0000091440,UnicodeDecodeError
SO,0000092122,UnicodeDecodeError
SRE,0001032208,UnicodeDecodeError
STE,0001757898,UnicodeDecodeError
STZ,0000016918,UnicodeDecodeError
T,0000732717,UnicodeDecodeError
TDG,0001260221,UnicodeDecodeError
TDY,0001094285,UnicodeDecodeError
TJX,0000109198,UnicodeDecodeError
TKO,0001973266,UnicodeDecodeError
TROW,0001113169,UnicodeDecodeError
TT,0001466258,UnicodeDecodeError
TYL,0000860731,UnicodeDecodeError
UAL,0000100517,UnicodeDecodeError
UNP,0000100885,UnicodeDecodeError
UPS,0001090727,UnicodeDecodeError
URI,0001067701,UnicodeDecodeError
V,0001403161,UnicodeDecodeError
VEEV,0001393052,UnicodeDecodeError
VLO,0001035002,UnicodeDecodeError
VLTO,0001967680,UnicodeDecodeError
VZ,0000732712,UnicodeDecodeError
WAT,0001000697,UnicodeDecodeError
WDAY,0001327811,UnicodeDecodeError
WM,0000823768,UnicodeDecodeError
WMT,0000104169,UnicodeDecodeError
WYNN,0001174922,UnicodeDecodeError
YUM,0001041061,UnicodeDecodeError
ZBH,0001136869,UnicodeDecodeError
ZBRA,0000877212,UnicodeDecodeError
